name,num_supported_bills,num_opposed_bills
Rep. Andrew Garbarino (R-NY-2),1,1
Rep. Nicole Malliotakis (R-NY-11),1,1
Rep. Jeff Van Drew (R-NJ-2),1,1
Rep. Chris Smith (R-NJ-4),1,1
Rep. Fred Upton (R-MI-6),1,1
Rep. Don Young (R-AK-1),1,1
Rep. Tom Reed (R-NY-23),1,1
Rep. Adam Kinzinger (R-IL-16),1,1
Rep. David McKinley (R-WV-1),1,1
Rep. John Katko (R-NY-24),1,1
Rep. Don Bacon (R-NE-2),1,1
Rep. Brian Fitzpatrick (R-PA-1),1,1
Rep. Ilhan Omar (D-MN-5),1,1
Rep. Alexandria Ocasio-Cortez (D-NY-14),1,1
Rep. Anthony Gonzalez (R-OH-16),1,1
Rep. Ayanna Pressley (D-MA-7),1,1
Rep. Rashida Tlaib (D-MI-13),1,1
Rep. Jamaal Bowman (D-NY-16),1,1
Rep. Cori Bush (D-MO-1),1,1
